;tree;pseudolatex
117;SUM,NEG,MUL,VN,POW,x,15,E,MUL,VN,POW,x,14,E,MUL,VF,POW,x,11,E,MUL,VF,POW,x,10,E,NEG,MUL,VF,POW,x,9,E,NEG,MUL,VF,POW,x,8,E,NEG,MUL,VN,POW,x,5,E,MUL,VF,POW,x,4,E,MUL,VN,POW,x,3,E,VF,E;- VN.x^{15} + VN.x^{14} + VF.x^{11} + VF.x^{10} - VF.x^{9} - VF.x^{8} - VN.x^{5} + VF.x^{4} + VN.x^{3} + VF
118;SUM,NEG,MUL,VN,POW,x,13,E,MUL,VF,POW,x,10,E,NEG,MUL,VF,POW,x,9,E,MUL,VF,POW,x,8,E,MUL,VN,POW,x,7,E,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VF,x,E,NEG,VN,E;- VN.x^{13} + VF.x^{10} - VF.x^{9} + VF.x^{8} + VN.x^{7} + VF.x^{6} - VF.x^{5} - VF.x^{4} - VF.x^{2} - VF.x - VN
119;SUM,NEG,MUL,VF,POW,x,13,E,MUL,VN,POW,x,4,E,NEG,MUL,VN,POW,x,3,E,E;- VF.x^{13} + VN.x^{4} - VN.x^{3}
120;SUM,NEG,MUL,VN,POW,x,4,E,NEG,VF,E;- VN.x^{4} - VF
121;SUM,NEG,MUL,VF,POW,x,12,E,NEG,MUL,VF,POW,x,11,E,NEG,MUL,VN,POW,x,10,E,NEG,MUL,VF,POW,x,8,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VN,POW,x,4,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VN,x,E,NEG,VN,E;- VF.x^{12} - VF.x^{11} - VN.x^{10} - VF.x^{8} - VF.x^{7} - VF.x^{6} - VF.x^{5} - VN.x^{4} - VN.x^{3} - VF.x^{2} - VN.x - VN
122;SUM,NEG,MUL,VF,POW,x,10,E,E;- VF.x^{10}
123;SUM,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VF,x,E,NEG,VN,E;- VF.x^{4} - VF.x - VN
124;SUM,NEG,MUL,VN,POW,x,15,E,NEG,MUL,VF,POW,x,11,E,NEG,MUL,VN,POW,x,7,E,NEG,MUL,VF,POW,x,3,E,E;- VN.x^{15} - VF.x^{11} - VN.x^{7} - VF.x^{3}
125;SUM,NEG,MUL,VF,POW,x,14,E,NEG,MUL,VN,POW,x,11,E,NEG,MUL,VF,POW,x,9,E,NEG,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VN,POW,x,3,E,E;- VF.x^{14} - VN.x^{11} - VF.x^{9} - VN.x^{7} - VN.x^{6} - VF.x^{5} - VN.x^{3}
126;SUM,NEG,MUL,VN,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,x,E,NEG,VF,E;- VN.x^{4} - VF.x^{3} - VF.x - VF
127;SUM,NEG,MUL,VF,POW,x,13,E,E;- VF.x^{13}
128;SUM,NEG,MUL,VN,POW,x,5,E,E;- VN.x^{5}
129;SUM,NEG,MUL,VF,POW,x,11,E,NEG,MUL,VF,POW,x,8,E,NEG,MUL,VF,POW,x,7,E,NEG,MUL,VN,POW,x,6,E,E;- VF.x^{11} - VF.x^{8} - VF.x^{7} - VN.x^{6}
130;SUM,NEG,MUL,VN,POW,x,6,E,NEG,MUL,VN,POW,x,5,E,NEG,MUL,VN,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VN,POW,x,2,E,E;- VN.x^{6} - VN.x^{5} - VN.x^{4} - VF.x^{3} - VN.x^{2}
131;SUM,NEG,MUL,VF,x,E,E;- VF.x
132;SUM,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,E;- VF.x^{3} - VF.x^{2}
133;SUM,NEG,MUL,VN,POW,x,9,E,NEG,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,5,E,E;- VN.x^{9} - VN.x^{7} - VN.x^{5}
134;SUM,NEG,MUL,VN,POW,x,5,E,NEG,MUL,VF,POW,x,3,E,NEG,VN,E;- VN.x^{5} - VF.x^{3} - VN
135;SUM,NEG,MUL,VF,POW,x,8,E,NEG,MUL,VN,POW,x,7,E,NEG,MUL,VN,POW,x,5,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VN,POW,x,2,E,NEG,MUL,VN,x,E,NEG,VF,E;- VF.x^{8} - VN.x^{7} - VN.x^{5} - VF.x^{4} - VN.x^{3} - VN.x^{2} - VN.x - VF
136;SUM,NEG,MUL,VN,POW,x,5,E,NEG,MUL,VF,POW,x,4,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VN,x,E,E;- VN.x^{5} - VF.x^{4} - VN.x^{3} - VF.x^{2} - VN.x
137;SUM,NEG,MUL,VF,POW,x,12,E,E;- VF.x^{12}
138;SUM,NEG,MUL,VF,POW,x,5,E,NEG,MUL,VN,POW,x,4,E,NEG,MUL,VF,POW,x,3,E,NEG,MUL,VN,x,E,NEG,VN,E;- VF.x^{5} - VN.x^{4} - VF.x^{3} - VN.x - VN
139;SUM,NEG,MUL,VN,POW,x,11,E,NEG,MUL,VN,POW,x,9,E,NEG,MUL,VN,POW,x,8,E,NEG,MUL,VN,POW,x,7,E,E;- VN.x^{11} - VN.x^{9} - VN.x^{8} - VN.x^{7}
140;SUM,NEG,VD,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,5,E,MUL,VD,x,E,MUL,VD,POW,x,3,E,MUL,VD,POW,x,4,E,E;- VD + VD.x^{2} - VD.x^{5} + VD.x + VD.x^{3} + VD.x^{4}
141;SUM,MUL,VD,x,E,NEG,VD,E;VD.x - VD
142;SUM,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,x,E,MUL,VD,POW,x,2,E,NEG,VD,NEG,MUL,VD,POW,x,3,E,E;- VD.x^{4} - VD.x + VD.x^{2} - VD - VD.x^{3}
143;SUM,MUL,VD,POW,x,3,E,NEG,MUL,VD,x,E,NEG,MUL,VD,POW,x,2,E,VD,E;VD.x^{3} - VD.x - VD.x^{2} + VD
144;SUM,NEG,MUL,VD,POW,x,3,E,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,MUL,VD,POW,x,5,E,E;- VD.x^{3} + VD.x^{4} - VD.x^{2} - VD.x - VD + VD.x^{5}
145;SUM,MUL,VD,POW,x,6,E,MUL,VD,POW,x,2,E,VD,NEG,MUL,VD,POW,x,3,E,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,9,E,NEG,MUL,VD,x,E,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,5,E,MUL,VD,POW,x,4,E,E;VD.x^{6} + VD.x^{2} + VD - VD.x^{3} + VD.x^{7} - VD.x^{9} - VD.x + VD.x^{8} - VD.x^{5} + VD.x^{4}
146;SUM,NEG,MUL,VD,x,E,MUL,VD,POW,x,2,E,MUL,VD,POW,x,3,E,VD,E;- VD.x + VD.x^{2} + VD.x^{3} + VD
147;SUM,NEG,MUL,VD,POW,x,4,E,NEG,VD,MUL,VD,POW,x,6,E,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,3,E,E;- VD.x^{4} - VD + VD.x^{6} + VD.x^{5} - VD.x^{2} - VD.x - VD.x^{7} - VD.x^{3}
148;SUM,NEG,VD,MUL,VD,POW,x,3,E,MUL,VD,x,E,MUL,VD,POW,x,2,E,E;- VD + VD.x^{3} + VD.x + VD.x^{2}
149;SUM,NEG,MUL,VD,POW,x,2,E,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,6,E,VD,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,5,E,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,3,E,MUL,VD,x,E,E;- VD.x^{2} + VD.x^{7} - VD.x^{6} + VD + VD.x^{8} - VD.x^{5} + VD.x^{4} - VD.x^{3} + VD.x
150;SUM,VD,MUL,VD,x,E,MUL,VD,POW,x,2,E,E;VD + VD.x + VD.x^{2}
151;SUM,NEG,MUL,VD,POW,x,5,E,MUL,VD,x,E,VD,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,6,E,MUL,VD,POW,x,2,E,MUL,VD,POW,x,4,E,MUL,VD,POW,x,7,E,E;- VD.x^{5} + VD.x + VD + VD.x^{3} - VD.x^{6} + VD.x^{2} + VD.x^{4} + VD.x^{7}
152;SUM,VD,NEG,MUL,VD,x,E,E;VD - VD.x
153;SUM,NEG,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,4,E,MUL,VD,POW,x,7,E,MUL,VD,x,E,NEG,MUL,VD,POW,x,5,E,MUL,VD,POW,x,2,E,MUL,VD,POW,x,3,E,NEG,VD,NEG,MUL,VD,POW,x,6,E,E;- VD.x^{8} - VD.x^{4} + VD.x^{7} + VD.x - VD.x^{5} + VD.x^{2} + VD.x^{3} - VD - VD.x^{6}
154;SUM,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,MUL,VD,POW,x,3,E,NEG,VD,NEG,MUL,VD,POW,x,7,E,MUL,VD,POW,x,6,E,MUL,VD,POW,x,4,E,MUL,VD,POW,x,5,E,E;VD.x^{2} - VD.x + VD.x^{3} - VD - VD.x^{7} + VD.x^{6} + VD.x^{4} + VD.x^{5}
155;SUM,NEG,MUL,VD,x,E,NEG,MUL,VD,POW,x,9,E,NEG,VD,MUL,VD,POW,x,7,E,MUL,VD,POW,x,8,E,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,3,E,MUL,VD,POW,x,4,E,E;- VD.x - VD.x^{9} - VD + VD.x^{7} + VD.x^{8} + VD.x^{6} - VD.x^{2} - VD.x^{5} - VD.x^{3} + VD.x^{4}
156;SUM,MUL,VD,POW,x,6,E,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,7,E,MUL,VD,POW,x,10,E,MUL,VD,x,E,VD,NEG,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,9,E,E;VD.x^{6} + VD.x^{5} - VD.x^{3} - VD.x^{4} - VD.x^{2} - VD.x^{7} + VD.x^{10} + VD.x + VD - VD.x^{8} - VD.x^{9}
157;SUM,MUL,VD,POW,x,3,E,MUL,VD,POW,x,5,E,MUL,VD,x,E,NEG,VD,NEG,MUL,VD,POW,x,4,E,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,6,E,E;VD.x^{3} + VD.x^{5} + VD.x - VD - VD.x^{4} + VD.x^{7} - VD.x^{2} - VD.x^{6}
158;SUM,NEG,MUL,VD,POW,x,2,E,MUL,VD,POW,x,4,E,NEG,VD,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,5,E,MUL,VD,x,E,E;- VD.x^{2} + VD.x^{4} - VD - VD.x^{3} - VD.x^{5} + VD.x
159;SUM,MUL,VD,POW,x,4,E,VD,MUL,VD,POW,x,3,E,MUL,VD,x,E,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,5,E,E;VD.x^{4} + VD + VD.x^{3} + VD.x + VD.x^{2} - VD.x^{5}
160;SUM,NEG,MUL,VD,x,E,NEG,VD,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,3,E,E;- VD.x - VD - VD.x^{2} - VD.x^{3}
161;SUM,NEG,MUL,VD,x,E,NEG,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,4,E,NEG,VD,NEG,MUL,VD,POW,x,9,E,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,3,E,E;- VD.x - VD.x^{7} - VD.x^{8} - VD.x^{6} - VD.x^{2} - VD.x^{4} - VD - VD.x^{9} - VD.x^{5} - VD.x^{3}
162;SUM,NEG,VD,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,x,E,E;- VD - VD.x^{2} - VD.x^{3} - VD.x
163;SUM,NEG,VD,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,10,E,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,9,E,E;- VD - VD.x^{5} - VD.x^{7} - VD.x^{10} - VD.x^{4} - VD.x^{8} - VD.x^{3} - VD.x^{2} - VD.x - VD.x^{6} - VD.x^{9}
164;SUM,NEG,MUL,VD,x,E,NEG,VD,E;- VD.x - VD
165;SUM,NEG,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,4,E,NEG,VD,NEG,MUL,VD,POW,x,5,E,E;- VD.x^{7} - VD.x^{2} - VD.x - VD.x^{8} - VD.x^{3} - VD.x^{6} - VD.x^{4} - VD - VD.x^{5}
166;SUM,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,4,E,NEG,VD,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,x,E,E;- VD.x^{2} - VD.x^{5} - VD.x^{4} - VD - VD.x^{6} - VD.x^{3} - VD.x
167;SUM,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,x,E,NEG,MUL,VD,POW,x,2,E,NEG,VD,E;- VD.x^{3} - VD.x^{4} - VD.x - VD.x^{2} - VD
168;SUM,NEG,MUL,VD,POW,x,6,E,NEG,VD,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,x,E,NEG,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,5,E,E;- VD.x^{6} - VD - VD.x^{3} - VD.x - VD.x^{7} - VD.x^{4} - VD.x^{2} - VD.x^{5}
169;SUM,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,10,E,NEG,MUL,VD,POW,x,9,E,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,7,E,NEG,VD,NEG,MUL,VD,x,E,E;- VD.x^{6} - VD.x^{2} - VD.x^{4} - VD.x^{5} - VD.x^{8} - VD.x^{10} - VD.x^{9} - VD.x^{3} - VD.x^{7} - VD - VD.x
170;SUM,MUL,VD,POW,x,5,E,MUL,VD,POW,x,2,E,VD,MUL,VD,POW,x,7,E,MUL,VD,POW,x,3,E,MUL,VD,x,E,MUL,VD,POW,x,8,E,MUL,VD,POW,x,6,E,MUL,VD,POW,x,4,E,E;VD.x^{5} + VD.x^{2} + VD + VD.x^{7} + VD.x^{3} + VD.x + VD.x^{8} + VD.x^{6} + VD.x^{4}
171;SUM,MUL,VD,POW,x,5,E,VD,MUL,VD,POW,x,6,E,MUL,VD,POW,x,2,E,MUL,VD,POW,x,4,E,MUL,VD,POW,x,3,E,MUL,VD,POW,x,8,E,MUL,VD,POW,x,7,E,MUL,VD,POW,x,10,E,MUL,VD,x,E,MUL,VD,POW,x,9,E,E;VD.x^{5} + VD + VD.x^{6} + VD.x^{2} + VD.x^{4} + VD.x^{3} + VD.x^{8} + VD.x^{7} + VD.x^{10} + VD.x + VD.x^{9}
172;SUM,MUL,VD,x,E,MUL,VD,POW,x,6,E,MUL,VD,POW,x,3,E,VD,MUL,VD,POW,x,2,E,MUL,VD,POW,x,7,E,MUL,VD,POW,x,4,E,MUL,VD,POW,x,5,E,E;VD.x + VD.x^{6} + VD.x^{3} + VD + VD.x^{2} + VD.x^{7} + VD.x^{4} + VD.x^{5}
173;SUM,MUL,VD,x,E,MUL,VD,POW,x,2,E,VD,MUL,VD,POW,x,3,E,MUL,VD,POW,x,4,E,E;VD.x + VD.x^{2} + VD + VD.x^{3} + VD.x^{4}
174;SUM,MUL,VD,POW,x,2,E,VD,MUL,VD,x,E,E;VD.x^{2} + VD + VD.x
175;SUM,MUL,VD,POW,x,6,E,MUL,VD,POW,x,5,E,MUL,VD,POW,x,4,E,MUL,VD,POW,x,2,E,VD,MUL,VD,POW,x,3,E,MUL,VD,x,E,E;VD.x^{6} + VD.x^{5} + VD.x^{4} + VD.x^{2} + VD + VD.x^{3} + VD.x
176;SUM,VD,MUL,VD,x,E,MUL,VD,POW,x,3,E,MUL,VD,POW,x,2,E,MUL,VD,POW,x,4,E,E;VD + VD.x + VD.x^{3} + VD.x^{2} + VD.x^{4}
177;SUM,MUL,VD,POW,x,3,E,MUL,VD,POW,x,2,E,MUL,VD,x,E,VD,E;VD.x^{3} + VD.x^{2} + VD.x + VD
178;SUM,MUL,VD,POW,x,2,E,MUL,VD,POW,x,3,E,VD,MUL,VD,x,E,E;VD.x^{2} + VD.x^{3} + VD + VD.x
179;SUM,VD,MUL,VD,x,E,E;VD + VD.x
180;SUM,NEG,MUL,VD,POW,x,3,E,MUL,VD,POW,x,2,E,MUL,VD,x,E,NEG,VD,E;- VD.x^{3} + VD.x^{2} + VD.x - VD
181;SUM,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,E;VD.x^{2} - VD.x - VD
182;SUM,NEG,MUL,VD,POW,x,5,E,MUL,VD,POW,x,4,E,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,E;- VD.x^{5} + VD.x^{4} + VD.x^{3} - VD.x^{2} - VD.x - VD
183;SUM,MUL,VD,POW,x,10,E,NEG,MUL,VD,POW,x,9,E,NEG,MUL,VD,POW,x,8,E,MUL,VD,POW,x,7,E,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,4,E,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,E;VD.x^{10} - VD.x^{9} - VD.x^{8} + VD.x^{7} + VD.x^{6} - VD.x^{5} - VD.x^{4} + VD.x^{3} - VD.x^{2} - VD.x - VD
184;SUM,NEG,MUL,VD,POW,x,3,E,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,E;- VD.x^{3} + VD.x^{2} - VD.x - VD
185;SUM,NEG,MUL,VD,POW,x,10,E,MUL,VD,POW,x,9,E,MUL,VD,POW,x,8,E,MUL,VD,POW,x,7,E,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,5,E,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,2,E,MUL,VD,x,E,NEG,VD,E;- VD.x^{10} + VD.x^{9} + VD.x^{8} + VD.x^{7} + VD.x^{6} - VD.x^{5} + VD.x^{4} - VD.x^{3} - VD.x^{2} + VD.x - VD
186;SUM,MUL,VD,POW,x,3,E,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,E;VD.x^{3} + VD.x^{2} - VD.x - VD
187;SUM,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,4,E,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,2,E,MUL,VD,x,E,VD,E;- VD.x^{5} - VD.x^{4} + VD.x^{3} - VD.x^{2} + VD.x + VD
188;SUM,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,5,E,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,3,E,MUL,VD,POW,x,2,E,MUL,VD,x,E,NEG,VD,E;VD.x^{6} - VD.x^{5} + VD.x^{4} - VD.x^{3} + VD.x^{2} + VD.x - VD
189;SUM,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,E;VD.x^{2} - VD.x - VD
190;SUM,NEG,MUL,VD,x,E,E;- VD.x
191;SUM,MUL,VD,x,E,E;VD.x
192;SUM,NEG,MUL,VD,POW,x,7,E,VD,E;- VD.x^{7} + VD
193;SUM,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,x,E,VD,E;- VD.x^{3} - VD.x + VD
194;SUM,MUL,VD,POW,x,5,E,E;VD.x^{5}
195;SUM,NEG,MUL,VD,POW,x,7,E,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,3,E,MUL,VD,POW,x,2,E,MUL,VD,x,E,NEG,VD,E;- VD.x^{7} + VD.x^{5} - VD.x^{4} - VD.x^{3} + VD.x^{2} + VD.x - VD
196;SUM,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,4,E,MUL,VD,x,E,E;- VD.x^{6} - VD.x^{5} - VD.x^{4} + VD.x
197;SUM,MUL,VD,POW,x,2,E,E;VD.x^{2}
198;SUM,MUL,VD,POW,x,2,E,VD,E;VD.x^{2} + VD
199;SUM,NEG,MUL,VD,POW,x,4,E,E;- VD.x^{4}
200;SUM,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,2,E,E;- VD.x^{5} - VD.x^{2}
201;SUM,NEG,MUL,VD,POW,x,3,E,E;- VD.x^{3}
202;SUM,NEG,MUL,VD,POW,x,10,E,NEG,MUL,VD,POW,x,9,E,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,5,E,E;- VD.x^{10} - VD.x^{9} - VD.x^{6} - VD.x^{5}
203;SUM,NEG,MUL,VD,POW,x,9,E,NEG,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,3,E,E;- VD.x^{9} - VD.x^{8} - VD.x^{3}
204;SUM,NEG,MUL,VD,x,E,E;- VD.x
205;SUM,NEG,MUL,VD,x,E,E;- VD.x
206;SUM,NEG,MUL,VD,POW,x,10,E,NEG,MUL,VD,POW,x,8,E,NEG,MUL,VD,POW,x,7,E,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,E;- VD.x^{10} - VD.x^{8} - VD.x^{7} - VD.x^{6} - VD.x^{2} - VD.x - VD
207;SUM,NEG,MUL,VD,POW,x,10,E,NEG,MUL,VD,POW,x,9,E,NEG,MUL,VD,POW,x,6,E,E;- VD.x^{10} - VD.x^{9} - VD.x^{6}
208;SUM,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,2,E,NEG,MUL,VD,x,E,NEG,VD,E;- VD.x^{6} - VD.x^{5} - VD.x^{4} - VD.x^{2} - VD.x - VD
209;SUM,NEG,MUL,VD,POW,x,6,E,NEG,MUL,VD,POW,x,5,E,NEG,MUL,VD,POW,x,4,E,NEG,MUL,VD,POW,x,3,E,NEG,MUL,VD,POW,x,2,E,E;- VD.x^{6} - VD.x^{5} - VD.x^{4} - VD.x^{3} - VD.x^{2}
210;SUM,NEG,MUL,VC,POW,x,8,E,E;- VC.x^{8}
211;SUM,MUL,VC,POW,x,14,E,MUL,VF,POW,x,8,E,MUL,VF,POW,x,11,E,MUL,VC,POW,x,19,E,MUL,VN,POW,x,9,E,NEG,MUL,VC,POW,x,15,E,MUL,VC,POW,x,10,E,E;VC.x^{14} + VF.x^{8} + VF.x^{11} + VC.x^{19} + VN.x^{9} - VC.x^{15} + VC.x^{10}
212;SUM,VF,MUL,VC,POW,x,2,E,E;VF + VC.x^{2}
213;SUM,NEG,MUL,VF,POW,x,3,E,MUL,VN,POW,x,2,E,MUL,VC,x,E,NEG,MUL,VF,POW,x,4,E,E;- VF.x^{3} + VN.x^{2} + VC.x - VF.x^{4}
214;SUM,NEG,MUL,VF,POW,x,8,E,MUL,VC,POW,x,19,E,NEG,MUL,VR,POW,x,11,E,NEG,MUL,VC,x,E,MUL,VN,POW,x,2,E,NEG,MUL,VC,POW,x,20,E,MUL,VC,POW,x,12,E,E;- VF.x^{8} + VC.x^{19} - VR.x^{11} - VC.x + VN.x^{2} - VC.x^{20} + VC.x^{12}
215;SUM,NEG,MUL,VN,POW,x,5,E,NEG,MUL,VN,POW,x,12,E,MUL,VR,POW,x,15,E,E;- VN.x^{5} - VN.x^{12} + VR.x^{15}
216;SUM,MUL,VF,POW,x,11,E,VC,MUL,VF,POW,x,10,E,NEG,MUL,VC,POW,x,9,E,NEG,MUL,VN,POW,x,5,E,MUL,VF,POW,x,2,E,NEG,MUL,VR,POW,x,12,E,NEG,MUL,VF,x,E,MUL,VR,POW,x,4,E,E;VF.x^{11} + VC + VF.x^{10} - VC.x^{9} - VN.x^{5} + VF.x^{2} - VR.x^{12} - VF.x + VR.x^{4}
217;SUM,NEG,MUL,VC,POW,x,7,E,NEG,MUL,VN,POW,x,3,E,NEG,MUL,VC,POW,x,8,E,MUL,VR,x,E,NEG,MUL,VR,POW,x,4,E,VR,NEG,MUL,VC,POW,x,2,E,E;- VC.x^{7} - VN.x^{3} - VC.x^{8} + VR.x - VR.x^{4} + VR - VC.x^{2}
218;SUM,VF,NEG,MUL,VF,POW,x,10,E,MUL,VN,POW,x,11,E,NEG,MUL,VF,POW,x,2,E,NEG,MUL,VC,POW,x,3,E,MUL,VF,x,E,NEG,MUL,VR,POW,x,4,E,NEG,MUL,VF,POW,x,5,E,MUL,VR,POW,x,7,E,NEG,MUL,VC,POW,x,6,E,E;VF - VF.x^{10} + VN.x^{11} - VF.x^{2} - VC.x^{3} + VF.x - VR.x^{4} - VF.x^{5} + VR.x^{7} - VC.x^{6}
219;SUM,MUL,VF,POW,x,11,E,NEG,MUL,VC,x,E,NEG,MUL,VN,POW,x,10,E,E;VF.x^{11} - VC.x - VN.x^{10}
220;SUM,NEG,MUL,VC,POW,x,14,E,MUL,VF,POW,x,13,E,NEG,MUL,VF,POW,x,6,E,NEG,MUL,VF,POW,x,12,E,MUL,VF,POW,x,20,E,NEG,MUL,VN,POW,x,7,E,MUL,VN,POW,x,16,E,MUL,VC,x,E,MUL,VC,POW,x,10,E,MUL,VF,POW,x,9,E,MUL,VN,POW,x,17,E,NEG,MUL,VC,POW,x,11,E,E;- VC.x^{14} + VF.x^{13} - VF.x^{6} - VF.x^{12} + VF.x^{20} - VN.x^{7} + VN.x^{16} + VC.x + VC.x^{10} + VF.x^{9} + VN.x^{17} - VC.x^{11}
221;SUM,MUL,VF,POW,x,5,E,MUL,VN,POW,x,2,E,E;VF.x^{5} + VN.x^{2}
222;SUM,MUL,VF,POW,x,3,E,MUL,VR,x,E,MUL,VR,POW,x,6,E,NEG,MUL,VR,POW,x,4,E,E;VF.x^{3} + VR.x + VR.x^{6} - VR.x^{4}
223;SUM,NEG,MUL,VC,POW,x,8,E,MUL,VF,POW,x,9,E,MUL,VF,POW,x,7,E,E;- VC.x^{8} + VF.x^{9} + VF.x^{7}
