expr_id,input,target,description,tree_expr,pseudolatex,latex_expr
524,reconocer entidades nombradas: Polinomio quinto grado completo y ordenado,Polinomio [B-EXTYPE] quinto [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR] y [O] ordenado [B-EXCHAR],Polinomio quinto grado completo y ordenado,SUM VR MUL VR x E MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 4 E MUL VR POW x 5 E E,VR + VRx + VRx^{2} + VRx^{3} + VRx^{4} + VRx^{5},32 + \frac{8}{5}x + 28.7x^{2} + 16x^{3} + 37x^{4} + \frac{3}{7}x^{5}
370,reconocer entidades nombradas: Polinomio completo de quinto grado con coeficientes imaginarios,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] quinto [B-ATVAL] grado [B-ATRIB] con [O] coeficientes [B-ELEM] imaginarios [B-NSET],Polinomio completo de quinto grado con coeficientes imaginarios,SUM VC MUL VC x E MUL VC POW x 2 E MUL VC POW x 3 E MUL VC POW x 4 E MUL VC POW x 5 E E,VC + VC.x + VC.x^{2} + VC.x^{3} + VC.x^{4} + VC.x^{5},(9+10i) + (3+20i).x + 11i.x^{2} + (11+6i).x^{3} + (22+21i).x^{4} + (19+16i).x^{5}
520,reconocer entidades nombradas: Polinomio de quinto grado con números complejos,Polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] con [O] números [B-ELEM] complejos [B-NSET],Polinomio de quinto grado con números complejos,SUM MUL VC POW x 4 E MUL VC POW x 3 E VC MUL VC x E MUL VC POW x 2 E MUL VC POW x 5 E E,VC.x^{4} + VC.x^{3} + VC + VC.x + VC.x^{2} + VC.x^{5},(17+6i).x^{4} + (5+8i).x^{3} + 13i + 7i.x + (1+19i).x^{2} + 1i.x^{5}
118,reconocer entidades nombradas: Polinomio de quinto grado completo con coeficiente principal -5,Polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR] con [O] coeficiente [B-ELEM] principal [I-ELEM] -5 [B-ELVAL],Polinomio de quinto grado completo con coeficiente principal -5,SUM NEG MUL 5 POW x 5 E NEG MUL VN POW x 4 E MUL VN POW x 3 E NEG MUL VN POW x 2 E MUL VN x E NEG VN E,- VNx^{5} - VNx^{4} + VNx^{3} - VNx^{2} + VNx - VN,- 5x^{5} - 5x^{4} + 23x^{3} - 33x^{2} + 31x - 23
118,reconocer entidades nombradas: Polinomio completo de quinto grado de 6 terminos,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] quinto [B-ATVAL] grado [B-ATRIB] de [O] 6 [B-ELCOUNT] terminos [B-ELEM],Polinomio completo de quinto grado de 6 terminos,SUM NEG MUL VN POW x 5 E NEG MUL VN POW x 4 E MUL VN POW x 3 E NEG MUL VN POW x 2 E MUL VN x E NEG VN E,- VNx^{5} - VNx^{4} + VNx^{3} - VNx^{2} + VNx - VN,- 5x^{5} - 5x^{4} + 23x^{3} - 33x^{2} + 31x - 23
205,reconocer entidades nombradas: Polinomio de quinto grado completo con coeficientes negativos,Polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR] con [O] coeficientes [B-ELEM] negativos [B-ELCHAR],Polinomio de quinto grado completo con coeficientes negativos,SUM VN MUL VN x E MUL VN POW x 2 E MUL VN POW x 3 E MUL VN POW x 4 E MUL VN POW x 5 E E,VN + VNx + VNx^{2} + VNx^{3} + VNx^{4} + VNx^{5},26 + 38x + 16x^{2} + 11x^{3} + 12x^{4} + 26x^{5}
205,reconocer entidades nombradas: Polinomio de quinto grado de coeficientes positivos y completo. Está en orden,Polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] de [O] coeficientes [B-ELEM] positivos [B-ELCHAR] y [O] completo. [B-EXCHAR] Está [O] en [B-EXCHAR] orden [I-EXCHAR],Polinomio de quinto grado de coeficientes positivos y completo. Está en orden,SUM VN MUL VN x E MUL VN POW x 2 E MUL VN POW x 3 E MUL VN POW x 4 E MUL VN POW x 5 E E,VN + VNx + VNx^{2} + VNx^{3} + VNx^{4} + VNx^{5},26 + 38x + 16x^{2} + 11x^{3} + 12x^{4} + 26x^{5}
460,reconocer entidades nombradas: expresion polinomica de quinto grado con 6 terminos,expresion [B-EXTYPE] polinomica [I-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] con [O] 6 [B-ELCOUNT] terminos [B-ELEM],expresion polinomica de quinto grado con 6 terminos,SUM NEG MUL VF POW x 5 E MUL VF POW x 4 E MUL VF POW x 3 E MUL VF POW x 2 E MUL VF x E NEG VF E,- VFx^{5} + VFx^{4} + VFx^{3} + VFx^{2} + VFx - VF,- \frac{16}{7}x^{5} + \frac{20}{15}x^{4} + \frac{19}{7}x^{3} + \frac{9}{16}x^{2} + \frac{1}{16}x - \frac{10}{19}
154,"reconocer entidades nombradas: polinomio de quinto grado con todos sus términos, con coeficientes racionales expresados como números con coma","polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] con [O] todos [O] sus [O] términos [B-ELEM] , [O] con [O] coeficientes [B-ELEM] racionales [B-NSET] expresados [O] como [O] números [O] con [O] coma [O]","polinomio de quinto grado con todos sus términos, con coeficientes racionales expresados como números con coma",SUM VD MUL VD x E MUL VD POW x 2 E MUL VD POW x 3 E MUL VD POW x 4 E MUL VD POW x 5 E E,VD + VDx + VDx^{2} + VDx^{3} + VDx^{4} + VDx^{5},37.5 + 1.7x + 7.8x^{2} + 36.1x^{3} + 30.8x^{4} + 14.3x^{5}
240,reconocer entidades nombradas: Polinomio de quinto grado Coeficientes decimales Coeficiente Independiente=5.8 6 términos,Polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] Coeficientes [B-ELEM] decimales [B-NSET] Coeficiente [B-ELEM] Independiente=5.8 [I-ELEM] 6 [B-ELCOUNT] términos [B-ELEM],Polinomio de quinto grado Coeficientes decimales Coeficiente Independiente=5.8 6 términos,SUM MUL VD POW x 5 E MUL VD POW x 4 E MUL VD POW x 3 E MUL VD POW x 2 E MUL VD x E 5.8 E,VDx^{5} + VDx^{4} + VDx^{3} + VDx^{2} + VDx + VD,1.1x^{5} + 28.7x^{4} + 18.1x^{3} + 12.2x^{2} + 24.2x + 5.8
399,reconocer entidades nombradas: Polinomio quinto grado completo,Polinomio [B-EXTYPE] quinto [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR],Polinomio quinto grado completo,SUM VD MUL VD POW x 5 E MUL VD POW x 3 E MUL VD POW x 4 E MUL VD x E MUL VD POW x 2 E E,VD + VDx^{5} + VDx^{3} + VDx^{4} + VDx + VDx^{2},10.5 + 22.6x^{5} + 36.3x^{3} + 35.7x^{4} + 30.9x + 23.3x^{2}
499,reconocer entidades nombradas: Un polinomio de quinto grado desordenado,Un [O] polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] desordenado [B-EXCHAR],Un polinomio de quinto grado desordenado,SUM MUL VD POW x 3 E MUL VD POW x 2 E VD MUL VD x E MUL VD POW x 4 E MUL VD POW x 5 E E,VDx^{3} + VDx^{2} + VD + VDx + VDx^{4} + VDx^{5},36.1x^{3} + 20.8x^{2} + 5.8 + 5.4x + 13.3x^{4} + 34.5x^{5}
437,reconocer entidades nombradas: Polinomio quinto grado incompleto,Polinomio [B-EXTYPE] quinto [B-ATVAL] grado [B-ATRIB] incompleto [B-EXCHAR],Polinomio quinto grado incompleto,SUM MUL VN POW x 5 E MUL VN POW x 2 E NEG MUL VN x E NEG VN E,VNx^{5} + VNx^{2} - VNx - VN,14x^{5} + 111x^{2} - 11x - 197
213,reconocer entidades nombradas: Polinomio desordenado  quinto grado Incompleto (falta termino de grado 4) Coeficiente independiente (-6/4),Polinomio [B-EXTYPE] desordenado [B-EXCHAR] quinto [B-ATVAL] grado [B-ATRIB] Incompleto [B-EXCHAR] ( [O] falta [O] termino [B-ELEM] de [I-ELEM] grado [I-ELEM] 4 [I-ELEM] ) [O] Coeficiente [B-ELEM] independiente [I-ELEM] ( [O] -6 [B-ELVAL] / [I-ELVAL] 4 [I-ELVAL] ) [O],Polinomio desordenado  quinto grado Incompleto (falta termino de grado 4) Coeficiente independiente (-6/4),SUM MUL VN POW y 2 E MUL VN POW y 3 E NEG MUL VF y E NEG FRAC 6 4 MUL VF POW y 5 E E,VNy^{2} + VNy^{3} - VFy - VF + VFy^{5},5y^{2} + 9y^{3} - \frac{6}{6}y - \frac{6}{4} + \frac{5}{6}y^{5}
266,reconocer entidades nombradas: Polinomio de quinto grado incompleto,Polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] incompleto [B-EXCHAR],Polinomio de quinto grado incompleto,SUM MUL VF POW z 5 E MUL VN POW z 2 E E,VFz^{5} + VNz^{2},\frac{7}{10}z^{5} + 24z^{2}
278,reconocer entidades nombradas: Es un polinomio de quinto grado y esta incompleto,Es [O] un [O] polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] y [O] esta [O] incompleto [B-EXCHAR],Es un polinomio de quinto grado y esta incompleto,SUM NEG MUL VN POW z 2 E NEG VF MUL VF POW z 5 E NEG MUL VC z E E,- VNz^{2} - VF + VFz^{5} - VC.z,- 10z^{2} - \frac{1}{4} + \frac{8}{2}z^{5} - (5+9i).z
118,reconocer entidades nombradas: Polinomio completo de quinto grado de seis terminos,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] quinto [B-ATVAL] grado [B-ATRIB] de [O] seis [B-ELCOUNT] terminos [B-ELEM],Polinomio completo de quinto grado de seis terminos,SUM NEG MUL VN POW x 5 E NEG MUL VN POW x 4 E MUL VN POW x 3 E NEG MUL VN POW x 2 E MUL VN x E NEG VN E,- VNx^{5} - VNx^{4} + VNx^{3} - VNx^{2} + VNx - VN,- 5x^{5} - 5x^{4} + 23x^{3} - 33x^{2} + 31x - 23
460,reconocer entidades nombradas: expresion polinomica de quinto grado con seis terminos,expresion [B-EXTYPE] polinomica [I-EXTYPE] de [O] grado [B-ATRIB] 5 [B-EXCHAR] con [O] seis [B-ELCOUNT] terminos [B-ELEM],expresion polinomica de quinto grado con seis terminos,SUM NEG MUL VF POW x 5 E MUL VF POW x 4 E MUL VF POW x 3 E MUL VF POW x 2 E MUL VF x E NEG VF E,- VFx^{5} + VFx^{4} + VFx^{3} + VFx^{2} + VFx - VF,- \frac{16}{7}x^{5} + \frac{20}{15}x^{4} + \frac{19}{7}x^{3} + \frac{9}{16}x^{2} + \frac{1}{16}x - \frac{10}{19}
240,reconocer entidades nombradas: Polinomio de quinto grado Coeficientes decimales Coeficiente Independiente=5.8 seis términos,Polinomio [B-EXTYPE] de [O] quinto [B-ATVAL] grado [B-ATRIB] Coeficientes [B-ELEM] decimales [B-NSET] Coeficiente [B-ELEM] Independiente=5.8 [I-ELEM] seis [B-ELCOUNT] términos [B-ELEM],Polinomio de quinto grado Coeficientes decimales Coeficiente Independiente=5.8 seis términos,SUM MUL VD POW x 5 E MUL VD POW x 4 E MUL VD POW x 3 E MUL VD POW x 2 E MUL VD x E 5.8 E,VDx^{5} + VDx^{4} + VDx^{3} + VDx^{2} + VDx + VD,1.1x^{5} + 28.7x^{4} + 18.1x^{3} + 12.2x^{2} + 24.2x + 5.8
56,reconocer entidades nombradas: Polinomio de sexto grado con variable X,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] con [O] variable [B-ELEM] X [B-VAR],Polinomio de sexto grado con variable X,SUM NEG MUL VR POW x 6 E MUL VR POW x 5 E MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E NEG MUL VR x E VR E,- VRx^{6} + VRx^{5} + VRx^{4} - VRx^{3} - VRx^{2} - VRx + VR,- 40x^{6} + \frac{5}{5}x^{5} + \frac{1}{4}x^{4} - 34x^{3} - \frac{9}{5}x^{2} - \frac{10}{6}x + \frac{9}{3}
98,reconocer entidades nombradas: Ecuación de sexto grado incompleta,Ecuación [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] incompleta [B-EXCHAR],Ecuación de sexto grado incompleta,SUM NEG MUL VR POW x 2 E NEG MUL VR POW x 4 E NEG MUL VR x E NEG MUL VR POW x 5 E NEG MUL VR POW x 3 E NEG MUL VR POW x 6 E NEG VR E,- VRx^{2} - VRx^{4} - VRx - VRx^{5} - VRx^{3} - VRx^{6} - VR,- \frac{5}{5}x^{2} - \frac{8}{2}x^{4} - \frac{3}{10}x - \frac{4}{8}x^{5} - \frac{9}{5}x^{3} - 11x^{6} - \frac{10}{2}
98,"reconocer entidades nombradas: Polinomio desordenado, completo de sexto grado con todos sus coeficientes negativos y casi todos fraccionarios","Polinomio [B-EXTYPE] desordenado [B-EXCHAR] , [O] completo [B-EXCHAR] de [O] sexto [B-ATVAL] grado [B-ATRIB] con [O] todos [O] sus [O] coeficientes [B-ELEM] negativos [B-ELCHAR] y [O] casi [O] todos [O] fraccionarios [B-NSET]","Polinomio desordenado, completo de sexto grado con todos sus coeficientes negativos y casi todos fraccionarios",SUM NEG MUL VR POW x 2 E NEG MUL VR POW x 4 E NEG MUL VR x E NEG MUL VR POW x 5 E NEG MUL VR POW x 3 E NEG MUL VR POW x 6 E NEG VR E,- VRx^{2} - VRx^{4} - VRx - VRx^{5} - VRx^{3} - VRx^{6} - VR,- \frac{5}{5}x^{2} - \frac{8}{2}x^{4} - \frac{3}{10}x - \frac{4}{8}x^{5} - \frac{9}{5}x^{3} - 11x^{6} - \frac{10}{2}
215,reconocer entidades nombradas: Polinomio fraccionario de sexto grado completo,Polinomio [B-EXTYPE] fraccionario [B-NSET] de [O] sexto [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR],Polinomio fraccionario de sexto grado completo,SUM MUL VR POW x 6 E MUL VR POW x 4 E MUL VR POW x 5 E NEG VR MUL VR POW x 3 E NEG MUL VR POW x 2 E MUL VR x E E,VRx^{6} + VRx^{4} + VRx^{5} - VR + VRx^{3} - VRx^{2} + VRx,\frac{3}{10}x^{6} + \frac{10}{10}x^{4} + \frac{6}{6}x^{5} - 32 + \frac{8}{2}x^{3} - \frac{6}{4}x^{2} + \frac{1}{9}x
237,reconocer entidades nombradas: Polinomio de sexto grado Completo,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] Completo [B-EXCHAR],Polinomio de sexto grado Completo,SUM MUL VR POW x 6 E MUL VR POW x 5 E MUL VR POW x 4 E MUL VR POW x 3 E MUL VR POW x 2 E MUL VR x E VR E,VRx^{6} + VRx^{5} + VRx^{4} + VRx^{3} + VRx^{2} + VRx + VR,48.7x^{6} + 21x^{5} + \frac{6}{8}x^{4} + 16x^{3} + \frac{5}{2}x^{2} + 22x + 4.4
273,reconocer entidades nombradas: polinomio de sexto grado completo compuesto de coeficientes racionales y decimales,polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR] compuesto [O] de [O] coeficientes [B-ELEM] racionales [B-NSET] y [O] decimales [B-NSET],polinomio de sexto grado completo compuesto de coeficientes racionales y decimales,SUM MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 6 E MUL VR POW x 4 E VR MUL VR x E MUL VR POW x 5 E E,VRx^{2} + VRx^{3} + VRx^{6} + VRx^{4} + VR + VRx + VRx^{5},\frac{9}{10}x^{2} + \frac{10}{4}x^{3} + 43.9x^{6} + 9x^{4} + 45.9 + 13x + 48x^{5}
273,reconocer entidades nombradas: Polinomio de sexto grado X variable,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] X [B-VAR] variable [B-ELEM],Polinomio de sexto grado X variable,SUM MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 6 E MUL VR POW x 4 E VR MUL VR x E MUL VR POW x 5 E E,VRx^{2} + VRx^{3} + VRx^{6} + VRx^{4} + VR + VRx + VRx^{5},\frac{9}{10}x^{2} + \frac{10}{4}x^{3} + 43.9x^{6} + 9x^{4} + 45.9 + 13x + 48x^{5}
297,reconocer entidades nombradas: Polinomio de sexto grado de 7 términos,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] de [O] 7 [B-ELCOUNT] términos [B-ELEM],Polinomio de sexto grado de 7 términos,SUM NEG MUL VR POW x 6 E NEG MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E MUL VR x E VR E,- VRx^{6} - VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} + VRx + VR,- \frac{10}{1}x^{6} - \frac{9}{9}x^{5} - 41.7x^{4} - \frac{1}{4}x^{3} - 44x^{2} + \frac{8}{1}x + 14.2
344,"reconocer entidades nombradas: Polinomio completo, desordenado, de sexto grado con coeficientes positivos y negativos","Polinomio [B-EXTYPE] completo [B-EXCHAR] , [O] desordenado [B-EXCHAR] , [O] de [O] sexto [B-ATVAL] grado [B-ATRIB] con [O] coeficientes [B-ELEM] positivos [B-ELCHAR] y [O] negativos [B-ELCHAR]","Polinomio completo, desordenado, de sexto grado con coeficientes positivos y negativos",SUM NEG MUL VR POW x 6 E MUL VR x E NEG MUL VR POW x 4 E VR NEG MUL VR POW x 3 E MUL VR POW x 2 E MUL VR POW x 5 E E,- VRx^{6} + VRx - VRx^{4} + VR - VRx^{3} + VRx^{2} + VRx^{5},- 43.1x^{6} + 30x - 6x^{4} + 5.7 - 50x^{3} + 43x^{2} + \frac{9}{7}x^{5}
352,reconocer entidades nombradas: Polinomio completo de sexto grado con 7 términos,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] sexto [B-ATVAL] grado [B-ATRIB] con [O] 7 [B-ELCOUNT] términos [B-ELEM],Polinomio completo de sexto grado con 7 términos,SUM VR MUL VR x E MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 4 E MUL VR POW x 5 E MUL VR POW x 6 E E,VR + VRx + VRx^{2} + VRx^{3} + VRx^{4} + VRx^{5} + VRx^{6},\frac{7}{4} + 20x + \frac{3}{3}x^{2} + 16.4x^{3} + 42x^{4} + \frac{6}{5}x^{5} + 4.9x^{6}
478,"reconocer entidades nombradas: Polinomio de sexto grado completo, con 7 términos, con coeficiente principal (-31), ordenado de menor a mayor y con coeficientes enteros y fraccionarios","Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR] , [O] con [O] 7 [B-ELCOUNT] términos [B-ELEM] , [O] con [O] coeficiente [B-ELEM] principal [I-ELEM] ( [O] -31 [B-ELVAL] ) [O] , [O] ordenado [B-EXCHAR] de [O] menor [O] a [O] mayor [O] y [O] con [O] coeficientes [B-ELEM] enteros [B-NSET] y [O] fraccionarios [B-NSET]","Polinomio de sexto grado completo, con 7 términos, con coeficiente principal (-31), ordenado de menor a mayor y con coeficientes enteros y fraccionarios",SUM NEG VR NEG MUL VR x E NEG MUL VR POW x 2 E NEG MUL VR POW x 3 E NEG MUL VR POW x 4 E NEG MUL VR POW x 5 E NEG MUL 31 POW x 6 E E,- VR - VRx - VRx^{2} - VRx^{3} - VRx^{4} - VRx^{5} - VRx^{6},- 40 - 9x - 15x^{2} - \frac{5}{1}x^{3} - \frac{2}{6}x^{4} - \frac{10}{1}x^{5} - 31x^{6}
314,reconocer entidades nombradas: Polinomios completo de sexto grado y con coeficientes enteros,Polinomios [B-EXTYPE] completo [B-EXCHAR] de [O] sexto [B-ATVAL] grado [B-ATRIB] y [O] con [O] coeficientes [B-ELEM] enteros [B-NSET],Polinomios completo de sexto grado y con coeficientes enteros,SUM NEG VN NEG MUL VN x E MUL VN POW x 2 E MUL VN POW x 3 E MUL VN POW x 4 E NEG MUL VN POW x 5 E NEG MUL VN POW x 6 E E,- VN - VNx + VNx^{2} + VNx^{3} + VNx^{4} - VNx^{5} - VNx^{6},- 32 - 40x + 33x^{2} + 12x^{3} + 6x^{4} - 27x^{5} - 35x^{6}
358,"reconocer entidades nombradas: un polinomio de 7 términos completo, de sexto grado siendo las constantes que acompañan a las variables números naturales","un [O] polinomio [B-EXTYPE] de [O] 7 [B-ELCOUNT] términos [B-ELEM] completo [B-EXCHAR] , [O] de [O] sexto [B-ATVAL] grado [B-ATRIB] siendo [O] las [O] constantes [B-ELEM] que [O] acompañan [O] a [O] las [O] variables [O] números [O] naturales [B-NSET]","un polinomio de 7 términos completo, de sexto grado siendo las constantes que acompañan a las variables números naturales",SUM MUL VN POW x 4 E VN MUL VN x E MUL VN POW x 3 E MUL VN POW x 6 E MUL VN POW x 5 E MUL VN POW x 2 E E,VNx^{4} + VN + VNx + VNx^{3} + VNx^{6} + VNx^{5} + VNx^{2},15x^{4} + 38 + 23x + 9x^{3} + 40x^{6} + 29x^{5} + 25x^{2}
354,reconocer entidades nombradas: Polinomio de sexto grado completo con variable x,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] completo [B-EXCHAR] con [O] variable [B-ELEM] x [B-VAR],Polinomio de sexto grado completo con variable x,SUM VF MUL VF x E MUL VF POW x 2 E MUL VF POW x 3 E MUL VF POW x 4 E NEG MUL VF POW x 5 E MUL VF POW x 6 E E,VF + VFx + VFx^{2} + VFx^{3} + VFx^{4} - VFx^{5} + VFx^{6},\frac{16}{13} + \frac{20}{8}x + \frac{17}{7}x^{2} + \frac{6}{17}x^{3} + \frac{4}{16}x^{4} - \frac{17}{19}x^{5} + \frac{10}{11}x^{6}
90,"reconocer entidades nombradas: Polinimio completo, desordenado de sexto grado con coeficientes decimales","Polinimio [B-EXTYPE] completo [B-EXCHAR] , [O] desordenado [B-EXCHAR] de [O] sexto [B-ATVAL] grado [B-ATRIB] con [O] coeficientes [B-ELEM] decimales [B-NSET]","Polinimio completo, desordenado de sexto grado con coeficientes decimales",SUM NEG MUL VD POW x 4 E NEG MUL VD POW x 6 E VD NEG MUL VD POW x 2 E NEG MUL VD POW x 5 E MUL VD x E NEG MUL VD POW x 3 E E,- VDx^{4} - VDx^{6} + VD - VDx^{2} - VDx^{5} + VDx - VDx^{3},- 18.4x^{4} - 39.3x^{6} + 28.1 - 24.7x^{2} - 9.2x^{5} + 29.0x - 30.8x^{3}
2,"reconocer entidades nombradas: polinomio de sexto grado con coeficiente principal -149, de dos términos","polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] con [O] coeficiente [B-ELEM] principal [I-ELEM] -149 [B-ELVAL] , [O] de [O] dos [B-ELCOUNT] términos [B-ELEM]","polinomio de sexto grado con coeficiente principal -149, de dos términos",SUM NEG MUL 149 POW x 6 E NEG MUL VF POW x 3 E E,- VNx^{6} - VFx^{3},- 149x^{6} - \frac{126}{191}x^{3}
2,reconocer entidades nombradas: polinomio de sexto grado de dos términos. Solo términos principal y de potencia 3,polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] de [O] dos [B-ELCOUNT] términos. [B-ELEM] Solo [O] términos [B-ELEM] principal [I-ELEM] y [O] de [O] potencia [O] 3 [B-ELVAL],polinomio de sexto grado de dos términos. Solo términos principal y de potencia 3,SUM NEG MUL VN POW x 6 E NEG MUL VF POW x 3 E E,- VNx^{6} - VFx^{3},- 149x^{6} - \frac{126}{191}x^{3}
134,reconocer entidades nombradas: Polinomio de sexto grado incompleto,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] incompleto [B-EXCHAR],Polinomio de sexto grado incompleto,SUM MUL VN POW x 6 E MUL VF POW x 3 E MUL VF POW x 2 E MUL VN x E VN E,VNx^{6} + VFx^{3} + VFx^{2} + VNx + VN,169x^{6} + \frac{81}{54}x^{3} + \frac{139}{126}x^{2} + 39x + 15
187,reconocer entidades nombradas: Polinomio de sexto grado incompleto con coeficiente principal de -9 y todos los números negativos,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] incompleto [B-EXCHAR] con [O] coeficiente [B-ELEM] principal [I-ELEM] de [O] -9 [B-ELVAL] y [O] todos [B-ELCOUNT] los [O] números [B-ELEM] negativos [B-ELCHAR],Polinomio de sexto grado incompleto con coeficiente principal de -9 y todos los números negativos,SUM NEG MUL 9 POW x 6 E NEG MUL VF POW x 4 E NEG MUL VN POW x 2 E NEG MUL VF x E NEG VF E,- VNx^{6} - VFx^{4} - VNx^{2} - VFx - VF,- 9x^{6} - \frac{178}{78}x^{4} - 130x^{2} - \frac{121}{149}x - \frac{87}{49}
292,reconocer entidades nombradas: Polinomio de sexto grado con con una constante de número complejo,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] con [O] con [O] una [B-ELCOUNT] constante [B-ELEM] de [O] número [O] complejo [B-NSET],Polinomio de sexto grado con con una constante de número complejo,SUM NEG MUL VN POW y 4 E NEG MUL VN POW y 3 E MUL VN POW y 6 E MUL VN y E NEG MUL VC POW y 5 E VF E,- VNy^{4} - VNy^{3} + VNy^{6} + VNy - VC.y^{5} + VF,- 2y^{4} - 13y^{3} + 18y^{6} + 16y - (20+12i).y^{5} + \frac{6}{2}
204,reconocer entidades nombradas: Monomio de sexto grado en indeterminada z con coeficiente 23,Monomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] en [O] indeterminada [B-ELEM] z [B-VAR] con [O] coeficiente [B-ELEM] 23 [B-ELVAL],Monomio de sexto grado en indeterminada z con coeficiente 23,SUM MUL 23 POW z 6 E E,VNz^{6},23z^{6}
297,reconocer entidades nombradas: Polinomio de sexto grado de siete términos,Polinomio [B-EXTYPE] de [O] sexto [B-ATVAL] grado [B-ATRIB] de [O] siete [B-ELCOUNT] términos [B-ELEM],Polinomio de sexto grado de siete términos,SUM NEG MUL VR POW x 6 E NEG MUL VR POW x 5 E NEG MUL VR POW x 4 E NEG MUL VR POW x 3 E NEG MUL VR POW x 2 E MUL VR x E VR E,- VRx^{6} - VRx^{5} - VRx^{4} - VRx^{3} - VRx^{2} + VRx + VR,- \frac{10}{1}x^{6} - \frac{9}{9}x^{5} - 41.7x^{4} - \frac{1}{4}x^{3} - 44x^{2} + \frac{8}{1}x + 14.2
352,reconocer entidades nombradas: Polinomio completo de sexto grado con siete términos,Polinomio [B-EXTYPE] completo [B-EXCHAR] de [O] sexto [B-ATVAL] grado [B-ATRIB] con [O] siete [B-ELCOUNT] términos [B-ELEM],Polinomio completo de sexto grado con siete términos,SUM VR MUL VR x E MUL VR POW x 2 E MUL VR POW x 3 E MUL VR POW x 4 E MUL VR POW x 5 E MUL VR POW x 6 E E,VR + VRx + VRx^{2} + VRx^{3} + VRx^{4} + VRx^{5} + VRx^{6},\frac{7}{4} + 20x + \frac{3}{3}x^{2} + 16.4x^{3} + 42x^{4} + \frac{6}{5}x^{5} + 4.9x^{6}
